,hashtag,count
503,IUAlumni,1
502,3dprinting,1
501,rwanda,1
496,majorsexpo,1
495,bouldering,1
494,climate,1
490,IUPD_Btown,1
489,ClimateChange,1
487,TrueFacts,1
486,PhilipBeesleyArchitect,1
484,ErniePyle,1
483,IUSHCOrange,1
482,IUFH,1
481,creamandcrimson,1
480,NationalDogDay,1
479,awesomecolleagues,1
478,totalpro,1
352,EarlyVoting,1
476,swimmer,1
475,olympic,1
474,opioidepidemic,1
473,NSF,1
472,jsom,1
353,pumpkincarving,1
286,stepperlove,1
351,LaCasa45,1
134,nittournament,1
152,MarchingHundrend,1
151,springbreakiu,1
149,B1GTourney,1
148,PiDay,1
147,AllGasNoBrakes,1
142,operationstormyweather,1
141,NIT,1
140,NCAAWrestling,1
139,arw19,1
138,NationalPuppyDay,1
135,ncaaW,1
132,archeology,1
157,money,1
131,HSUS,1
130,LegacyDay,1
129,hammockszn,1
128,Investigative,1
127,NationalWalkInTheParkDay,1
121,NEHGrant,1
120,MyDayatIU,1
117,KeepAsking,1
116,SafetyFirst,1
115,BackHomeAgainInIndiana,1
113,GoBigRed,1
156,1️⃣9️⃣,1
158,MardiGras,1
350,DiaDeLosMuertos,1
178,opioidaddiction,1
194,BusTip,1
193,PresidentsDay,1
192,cyberattacks,1
191,cybersecurity,1
190,mindset,1
188,NationalLoveYourPetDay,1
187,FashionDesign,1
186,KelleyPassport,1
182,opioidcrisis,1
181,lunarnewyear2019,1
179,Oscars,1
176,breakfast,1
159,FatTuesday,1
175,Thailand,1
174,Bangkok,1
172,sustainability,1
170,3MT,1
169,NationalPublicSleepingDay,1
168,scicomm,1
166,studyabroad,1
165,TinyDesk,1
163,martinmystere,1
161,QSWUR,1
160,w200,1
112,IULittle5,1
110,NationalPetDay,1
109,INDYCARGP,1
33,WorldBeeDay,1
58,WallpaperWednesday,1
57,veterans,1
53,𝔹𝟙𝔾𝕋𝔽,1
49,IUGrad,1
48,babyhoosier,1
46,legacy,1
44,MentalHealth,1
43,CLCinGreece,1
40,4YourMorning,1
39,dataden,1
35,NMBCC_IU,1
29,IUPrecisionHealth,1
108,Indy500,1
28,B1GBaseball,1
27,CitrixSynergy,1
24,PhotooftheDay,1
21,RoadToOmaha,1
17,IUHistory,1
16,iubase,1
11,Wolbachia,1
10,DDay,1
8,NationalDoughnutDay,1
7,FistsAndBlades4Life,1
4,Type1Diabetes,1
59,Autism,1
61,ThankaTeacherDay,1
65,HoosiersForLife,1
66,blackgradsmatter,1
107,ThisIsMay,1
103,WorldArtDay,1
101,SustainIUWeek,1
100,IUmegajeff,1
98,AlTakeover,1
93,IUadventure,1
90,IUShowcase,1
89,IUGrandChallenge,1
88,JobHunt,1
87,Granfalloon,1
86,muckrakers,1
85,truthseekers,1
84,journalism,1
81,SustainIUSpringSymposium,1
79,CollegeSigningDay,1
77,AllTheMoods,1
76,CognitiveSciences,1
75,NAS156,1
73,moreiuspam,1
72,graduation,1
69,NationalNursesDay,1
68,undefeated,1
67,swagsurfin,1
197,WomenInScience,1
200,Truth,1
201,HoosierMexicana,1
292,LastLecture,1
311,helpingpeople,1
309,pollinator,1
306,networking,1
304,TEDxIndianapolisWomen,1
303,ShowingUp,1
302,BDEC2,1
301,researchers,1
300,gingerbreadhouse,1
299,LifeStructures,1
297,IUTF,1
295,tudorroom,1
291,playballallday,1
276,StraightNoChaser,1
289,finals,1
288,study,1
287,quiet,1
1,hamiltonlugar,1
284,youcandoit,1
283,finalsweek,1
282,almostthere,1
281,ArtificialIntelligence,1
280,B1GTF,1
279,Season119,1
278,OneShotTour,1
312,KendallWeek,1
313,socialjustice,1
314,research,1
317,CyberMonday,1
349,FeatureFriday,1
346,díademuertos,1
345,TogetherWeWill,1
344,NationalCandyDay,1
343,Vote,1
341,GSA2018,1
340,VR,1
339,ElectionDay2018,1
337,HoosiersIEW,1
336,logrolling,1
335,VeteransDay2018,1
332,ftk,1
331,VeteransDay,1
330,InternationalEducationWeek,1
329,BigTen,1
328,firstsnow,1
327,letitsnow,1
326,inwx,1
325,IUBlackPhilanthropyCircle,1
322,wemissyou,1
321,RhodesScholars,1
319,IUJUR,1
318,IUDonors,1
277,NationalCocoaDay,1
275,soexcited,1
202,NationalPizzaDay,1
220,gloryofcoldiu,1
234,indiana,1
233,GrunwaldGallery,1
232,ChristylBoger,1
231,artist,1
230,sculptures,1
229,ceramic,1
228,TheTop22,1
227,Mahler,1
225,iloveswimming,1
224,GoHoosiers,1
223,IUPUI,1
219,firmware,1
274,IUBGrad18,1
218,hardware,1
217,superbowl,1
216,UnScienceAnAnimal,1
215,squirrel,1
211,MEXICOREMIXED,1
210,IDSHousingFair,1
209,YearOfThePig,1
208,leadership,1
206,KoreanFilm,1
204,latenite,1
203,iulatenite,1
235,bloomington,1
237,MartinLutherKingJrDay,1
238,MLKIU,1
239,MLKDay,1
273,iubgrad18,1
272,TrueStory,1
270,NationalCrosswordPuzzleDay,1
269,HoosierLeaders,1
268,HoosierEdDs,1
267,broadcasting,1
266,Canon,1
265,hours,1
263,FlashbackFriday,1
262,iub,1
259,BirdsofIU,1
258,CarolBurnett,1
256,SICEFair,1
255,Friyay,1
253,WinterStormGia,1
252,DC,1
251,volunteer,1
249,NationalHatDay,1
248,CRE,1
246,psychiatrists,1
245,digital,1
244,beatpurdue,1
241,UCANationals,1
571,limestone,1
