Created date,Post title,Post link,Post type,Impressions,Video views,Clicks,Click through rate (CTR),Likes,Comments,Shares,Follows,Engagement rate
2019-05-17 00:00:00,"""I.M. Pei was one of the greatest and most accomplished architects of the 20th century. His design for our treasured Eskenazi Museum of Art remains truly visionary and extraordinary, and it has contributed mightily to the museum's reputation as one of the premier art museums in the world.""

On behalf of the Indiana University community, we send our deepest and most heartfelt condolences to the family and friends of I.M. Pei and to all of those who have been moved and influenced by this revered modernist architect.

https://lnkd.in/e-U4T-k

#indianauniversity #architects #architecture",https://www.linkedin.com/feed/update/urn:li:activity:6535147455237943296,Organic,67343,0,971,0.01441872213035822,961,29,60,0,0.030010543763637543
2019-05-17 00:00:00,"This giant land sloth once roamed Indiana. We're bringing it back to IU.

Meet Megalonyx jeffersonii a.k.a MegaJeff!

https://lnkd.in/g5Zn-w5",https://www.linkedin.com/feed/update/urn:li:activity:6535136761138552833,Organic,15066,0,152,0.010088942013680935,150,4,7,0,0.02077525481581688
2019-05-16 00:00:00,"IU is in the running for the 2019 Citrix Innovation Award for our use of the Citrix platform to make education accessible to everyone. Vote here to help us win 👇
https://lnkd.in/gbGHwDJ

#indianauniversity",https://www.linkedin.com/feed/update/urn:li:activity:6534759205293961216,Organic,14045,0,158,0.01124955527484417,114,6,10,0,0.020505517721176147
2019-05-15 00:00:00,"The IU Alumni Association is proud to present job opportunities for IU alumni from all campuses from employers specifically seeking to hire a Hoosier. Check out these listings that were recently shared with the IUAA. 

Indiana University Center of Excellence for Women and Technology, Bloomington, IN  - Program Coordinator
For a job description and application instructions, please visit: https://lnkd.in/evBeDxz.  

Sinclair Broadcast Group and Sinclair Digital Solutions, South Bend, IN  - General Manager / Strategic Market Leader
For a job description and application instructions, please visit: https://lnkd.in/e9xJzUG. 

Asian American Legal Defense and Education Fund, New York, NY  - Development Director
For a job description and application instructions, please visit: https://lnkd.in/eaW3fxz.
",https://www.linkedin.com/feed/update/urn:li:activity:6534496714244579328,Organic,14069,0,185,0.013149477541446686,83,0,0,0,0.01904897205531597
2019-05-15 00:00:00,"This year's IU Bloomington commencement by the numbers:
✅7,281 graduates
✅50 U.S. states represented
✅88 of Indiana's 92 counties represented
✅72 - age of our oldest graduate
✅19 - age of our youngest graduate
✅19 sets of twins 
✅1 set of triplets

#indianauniversity #iubloomington",https://www.linkedin.com/feed/update/urn:li:activity:6534412663924015106,Organic,102451,43769,994,0.009702199138700962,1319,34,73,0,0.023621048778295517
2019-05-14 00:00:00,"Indiana University VP for Information Technology & CIO, Brad Wheeler, is helping colleges band together digitally to support student success. 

The resulting insights could elevate teaching and student success to a whole new level.

#indianauniversity #highereducation",https://www.linkedin.com/feed/update/urn:li:activity:6534041970220904448,Organic,12889,0,145,0.011249902658164501,102,0,3,0,0.019396385177969933
2019-05-13 00:00:00,"Indiana University researchers are reporting a previously unknown way that bacteria can develop new genes to evolve and adapt to threats. 
It's an insight that might advance efforts to fight drug-resistant ""superbugs.""

#indianauniversity ",https://www.linkedin.com/feed/update/urn:li:activity:6533717494857781248,Organic,12682,0,88,0.006938968785107136,96,1,4,0,0.014903011731803417
2019-05-11 00:00:00,"Sometimes a college career doesn't progress in a straight line. Congratulations to the Philadelphia Eagles running back and brand new Indiana University alum, Jordan Howard. We're glad you came back to finish your degree and we're proud to call you a Hoosier for life! ⚪🔴

https://lnkd.in/ghWmJyh

#indianauniversity #iualumni",https://www.linkedin.com/feed/update/urn:li:activity:6533085699296628736,Organic,56760,0,2100,0.03699788451194763,635,12,8,0,0.04853770136833191
2019-05-11 00:00:00,"Indiana University's ICOs are headed to Hungary to advise Hungarian university personnel about tech transfer practices and launching startups.
It's just another example of how we're bringing IU to the world.
 http://go.iu.edu/2aCL

#indianauniversity #techtransfer #startups",https://www.linkedin.com/feed/update/urn:li:activity:6532962382409543680,Organic,13283,0,128,0.009636376984417439,105,3,3,0,0.01799292303621769
2019-05-10 00:00:00,"From meeting with IU students in Indiana and across the globe to hanging banners in Assembly Hall and working on important issues with student leaders - IU President Michael McRobbie and First Lady Laurie Burns McRobbie have a had a busy academic year.

Learn more about their work celebrating IU's traditions and future: http://go.iu.edu/2ayJ

#indianauniversity",https://www.linkedin.com/feed/update/urn:li:activity:6532621934440529920,Organic,38623,11807,257,0.0066540660336613655,162,5,1,0,0.011003806255757809
